Date,Open,High,Low,Close,Volume
3/7/2024,319.9120001,322.8008121,313.1186661,317.8805237,668692
3/8/2024,317.7686992,328.9045932,317.7686992,319.3435669,1615015
3/11/2024,320.5456611,320.5642883,314.9730508,316.380188,345799
3/12/2024,316.3801967,318.5141653,310.3136947,311.84198,168367
3/13/2024,313.0906794,315.9049255,308.449942,311.4039917,263066
3/14/2024,312.1774253,313.0999704,309.3818066,311.9724121,203345
3/15/2024,312.1774707,312.1774707,309.8477881,310.5187378,160536
3/18/2024,312.8297895,314.9730861,309.3818479,311.2642212,200236
3/19/2024,313.109321,314.9171569,309.4004563,314.1809692,260574
3/20/2024,314.9730509,317.7686697,313.109305,316.6970215,1477744
3/21/2024,319.6324567,320.0890654,314.5071549,316.3336182,345109
3/22/2024,314.9917104,319.1199295,314.9917104,316.9579773,394483
3/26/2024,316.3708822,320.9277548,312.6433902,319.5671997,185309
3/27/2024,320.5643093,324.7577378,319.6417642,323.8817749,192726
3/28/2024,325.2143316,338.2605529,324.2917865,329.9389343,449220
3/29/2024,329.7898332,336.4061368,325.2702436,334.8033142,301008
4/1/2024,334.7753811,337.3287041,330.5074152,335.0549316,134655
4/2/2024,334.5423931,336.312946,331.756102,333.0793457,77672
4/3/2024,333.8900567,355.1367764,333.8900567,349.3498535,691686
4/4/2024,352.2479964,361.5573986,344.8862053,352.2573242,1028955
4/8/2024,350.8501998,353.8787872,348.5298451,351.1763611,350236
4/9/2024,351.7820307,353.0680199,343.8611108,346.5914917,322213
4/15/2024,345.7248659,346.6567389,336.4061364,340.7579956,438274
4/16/2024,341.0654968,346.6567344,337.3007221,339.5465393,537878
4/17/2024,339.5465568,342.9199324,331.7467844,334.7567444,279398
4/18/2024,338.9221989,340.9723023,330.3489565,335.6885986,522011
4/19/2024,337.3380186,341.3916717,335.4742726,340.4225159,399148
4/22/2024,338.2698952,341.1587071,338.2698952,339.6770325,297759
4/23/2024,339.2110892,342.4633168,336.4061425,339.5558777,455207
4/24/2024,338.269902,343.5256794,338.269902,340.1150208,487717
4/25/2024,339.2110963,344.7836786,336.4154773,338.0089722,467124
4/26/2024,338.0089612,347.4954211,336.4154664,343.9543152,1057509
4/29/2024,349.3592015,352.1548207,341.9974101,343.1529236,1403090
4/30/2024,345.5850957,345.5850957,342.0532892,343.8704529,362760
5/2/2024,344.7930154,345.9578567,338.0835183,338.7078857,625600
5/3/2024,340.1336584,341.2984997,338.2699124,340.3852539,394045
5/6/2024,341.3450597,350.2910459,341.3450597,347.0388184,1174284
5/7/2024,350.4860612,352.4065328,345.2047644,345.7616882,677883
5/8/2024,347.3172783,351.4462802,345.5024187,347.5093079,451349
5/9/2024,349.4297968,349.9099147,338.0029968,340.9509277,569681
5/10/2024,341.1813522,342.6601234,318.9903187,333.3458252,325431
5/13/2024,335.1126587,340.8836849,333.3458285,338.1854248,305468
5/14/2024,338.483106,343.7644027,334.2196569,340.2211304,276702
5/15/2024,340.8836886,344.7342433,335.9384804,336.9371338,414895
5/16/2024,338.9632427,339.2033017,335.3143584,335.928894,232263
